student_id,enrollment_date,academic_ability,time_management,persistence,external_commitments
0,2024-08-25,0.7241785382528081,0.5481548858649431,0.3406585285177396,high
1,2024-08-16,0.6797255461723458,0.5298115439843974,0.8827098485602952,low
2,2024-08-15,0.4841455767968844,0.807173209685588,0.7282970263056656,low
3,2024-08-26,0.8375924205992258,0.4375147103174936,0.4397716475108518,medium
4,2024-08-19,0.4639043188687043,0.5017085325451911,0.7789631185585097,medium
5,2024-08-18,0.8368599552616597,0.5619785881285825,0.48114598712001183,medium
6,2024-08-18,0.6522158987511888,0.06200345673729261,0.36194475143634364,low
7,2024-08-17,0.8204402597371526,0.40838358575698863,0.8801162564063505,medium
8,2024-08-26,0.6859045723921153,0.06729934552183635,0.839889242680162,low
9,2024-08-16,0.8219371148983393,0.26755326436227733,0.5316286173968544,low
10,2024-08-25,0.3234162564984929,0.11402404627304073,0.3837159721568112,medium
11,2024-08-26,0.6741403460822426,0.26473854642381334,0.6659129805673958,medium
12,2024-08-29,0.6217617670595428,0.2281415596730283,0.5872680461249408,medium
13,2024-08-23,0.6047500827655374,0.2997950109100793,0.7433826295572964,high
14,2024-08-16,0.4675599490582403,0.3021025940298102,0.5226024324803047,low
15,2024-08-24,0.6438883234887082,0.568171948427863,0.30486649137183347,medium
16,2024-08-21,0.24615731448739642,0.25346686578729644,0.6631534352203562,medium
17,2024-08-15,0.5584847729122336,0.44252505678325477,0.6480739541246698,medium
18,2024-08-15,0.6150575524852566,0.6742802285998173,0.40142641046385613,medium
19,2024-08-16,0.5352428388152773,0.46937168872586077,0.5574481929034772,medium
20,2024-08-18,0.7467142734500676,0.7673200177852417,0.3285425990883347,medium
21,2024-08-18,0.8307906520854882,0.11444968666454716,0.7836564166717261,medium
22,2024-08-23,0.4041866769159407,0.37668712760093076,0.8720555401408511,medium
23,2024-08-24,0.7390304496334913,0.1006812023256057,0.9302926400143313,medium
24,2024-08-15,0.2907623222804795,0.11134820595878074,0.4131400998662296,high
25,2024-08-23,0.9042676992450276,0.5551886133069683,0.6841136525566103,medium
26,2024-08-18,0.3021741256993378,0.6222540808448727,0.7547430293330503,high
27,2024-08-26,0.31739298671986743,0.2943441034831767,0.48564165737720777,low
28,2024-08-25,0.5807245726464739,0.293459560537559,0.7038327192384514,medium
29,2024-08-26,0.7344900009229989,0.6355838737720279,0.7518306071350175,low
30,2024-08-23,0.5441343036685373,0.5286147081015402,0.9745339839624769,high
31,2024-08-21,0.7850852044869345,0.47492656875807715,0.4186449226802647,medium
32,2024-08-18,0.6432952314627954,0.4197826900193852,0.3980588106655668,medium
33,2024-08-22,0.3977657771524097,0.3705023440680356,0.5516438058538286,low
34,2024-08-24,0.7287588168021649,0.4722985613155049,0.8588066252767426,medium
35,2024-08-19,0.8179784972030981,0.4541476519502442,0.5629080668479608,low
36,2024-08-27,0.4786591130427241,0.7222202219196799,0.3213501749573346,low
37,2024-08-28,0.6893261354841584,0.18816442750236273,0.8389954871690275,low
38,2024-08-15,0.4174083420707158,0.18265435457958082,0.808263933605863,high
39,2024-08-27,1.0,0.05721156769702754,0.6072799944939452,low
40,2024-08-27,0.7262468197451143,0.5859469255084508,0.6844586652942843,medium
41,2024-08-17,0.520538273372354,0.10277102764832385,0.6880478367579804,medium
42,2024-08-26,0.22015750851149662,0.32702234063720587,0.6441311125817826,medium
43,2024-08-21,1.0,0.5522098307141194,0.7445655556073506,low
44,2024-08-20,0.9603183222665288,0.10930071077630994,0.3493981231803009,medium
45,2024-08-19,0.8274345437399542,0.45743704526288637,0.5717189483445653,medium
46,2024-08-17,1.0,0.4798934679470087,0.3485529106126158,low
47,2024-08-18,0.4783918084869098,0.5177862100762097,0.7877160157549055,medium
48,2024-08-27,0.8124005242552562,0.3685770406917377,0.42420768064580594,medium
49,2024-08-20,0.1530820970170545,0.12749679926213467,0.6002958191625128,medium
50,2024-08-16,0.5494518368915264,0.27688591286777625,0.878520226275419,medium
51,2024-08-16,0.5401938005325612,0.4838925348103851,0.7014065216863002,medium
52,2024-08-21,0.5674642364080789,0.11438213364147631,0.8266621706063759,medium
53,2024-08-16,0.42521335547702066,0.2647511868641402,0.3819469114993241,low
54,2024-08-20,0.5632356546244653,0.31808249193443283,0.7906783920213839,low
55,2024-08-28,0.7397773006536319,0.7668674873157455,0.963074004168701,high
56,2024-08-20,0.24813405640586117,0.14561034992531452,0.6908829748150634,medium
57,2024-08-24,0.524418939480923,0.33963364219692443,0.7083581355680117,high
58,2024-08-19,0.3931922641119192,0.21344146690955715,0.9742557776084279,low
59,2024-08-27,0.6174131661297197,0.5373407990849892,0.6661684909191041,medium
60,2024-08-15,0.4067475540361334,0.1430387616279064,0.9308106073436923,low
61,2024-08-26,0.5722670160926224,0.683196307113665,0.547346559618237,medium
62,2024-08-22,0.45015183863899444,0.06140087245794857,0.4138318575414239,high
63,2024-08-23,0.7854907541323662,0.4630317206029686,0.4052918237724697,medium
64,2024-08-16,0.4827060869738238,0.4592109187542459,0.6280852118564791,medium
65,2024-08-29,0.5728428339777861,0.37367047521397306,0.9613360109176996,high
66,2024-08-21,0.6117451484411854,0.6136338526069225,0.724322244115616,low
67,2024-08-16,0.865111703527617,0.5837500611921517,0.8406228742149475,medium
68,2024-08-23,0.4128783658608616,0.27381592921891534,0.5824380063486779,low
69,2024-08-19,0.9722612934711197,0.3907982224711676,0.6062324454166104,high
70,2024-08-28,0.1603151283942214,0.8080512124300795,0.7354606901595114,high
71,2024-08-25,0.5963204353412658,0.46619626567389405,0.5301261272012557,medium
72,2024-08-24,0.5918263129764767,0.3727863399113961,0.40633188545860605,low
73,2024-08-29,0.324687023788222,0.48111389421390277,0.42062390984114084,low
74,2024-08-28,0.8387855801253096,0.3066533588082557,0.622545137622908,low
75,2024-08-20,0.6143685007560742,0.06427351466607595,0.9446106803722691,low
76,2024-08-24,0.6534949776835555,0.630018292889619,0.4465445263356972,medium
77,2024-08-18,1.0,0.16946339964920717,0.4767058610408145,medium
78,2024-08-26,0.5377409901109054,0.27107537130501025,0.6131886567764182,medium
79,2024-08-16,0.3973735382551953,0.3008313314314057,0.9233690965179264,medium
80,2024-08-15,0.3296129990964012,0.4693351742066776,0.6759745792729834,medium
81,2024-08-25,0.4898738602816187,0.7591926757213459,0.6995448132682383,medium
82,2024-08-18,0.2543000672589159,0.37153690355342034,0.4070013974290324,low
83,2024-08-27,0.5045224444078096,0.3019043244748769,0.9876650318360244,low
84,2024-08-19,0.39226247089724053,0.46765988443064377,0.4805319789314579,low
85,2024-08-16,0.732079152407594,0.7184123240732347,0.4309306239902663,medium
86,2024-08-28,0.7358400480949837,0.9001351847729216,0.7274340297091427,low
87,2024-08-18,0.3152145678525293,0.5396355127586302,0.39409027385728196,low
88,2024-08-28,0.6118496678291034,0.19630325743568178,0.716947118425491,medium
89,2024-08-16,0.15743920291452695,0.16529118485891434,0.42686314631596206,low
90,2024-08-21,0.44900370332104483,0.2783569634832509,0.8566871183019231,low
91,2024-08-19,0.5203803723374152,0.2889847090359805,0.9140403785691757,medium
92,2024-08-22,1.0,0.2015122292672339,0.5109645119148994,medium
93,2024-08-25,0.20493701581411822,0.2835714061656999,0.7369665971397944,low
94,2024-08-28,0.1,0.33753235513058194,0.8558176324892072,medium
95,2024-08-20,0.8414805019898975,0.47209582440613096,0.8207624048008738,low
96,2024-08-17,0.38753890763380205,0.5697688793185662,0.8748801132704089,low
97,2024-08-20,0.9217437409623985,0.21978864852215207,0.7488033430197081,medium
98,2024-08-20,0.36945866895559365,0.09288319596240577,0.9359153929335398,medium
